时间 - A,Voltage [V] - A
27:43.5,0.145382
27:43.5,0.143133
27:43.5,0.145382
27:43.5,0.145382
27:43.5,0.146346
27:43.5,0.14474
27:43.5,0.146346
27:43.5,0.14474
27:43.5,0.14474
27:43.5,0.142812
27:43.5,0.144418
27:43.5,0.145061
27:43.5,0.146346
27:43.5,0.145061
27:43.5,0.145704
27:43.5,0.145061
27:43.5,0.145382
27:43.5,0.14249
27:43.5,0.144097
27:43.5,0.144418
27:43.5,0.146668
27:43.5,0.14474
27:43.5,0.145704
27:43.5,0.144097
27:43.5,0.145061
27:43.5,0.143776
27:43.5,0.14474
27:43.5,0.144418
27:43.5,0.146346
27:43.5,0.145382
27:43.5,0.146025
27:43.5,0.144418
27:43.5,0.145382
27:43.5,0.143776
27:43.5,0.143454
27:43.5,0.143454
27:43.5,0.146025
27:43.5,0.145061
27:43.5,0.146025
27:43.5,0.145061
27:43.5,0.146025
27:43.5,0.143776
27:43.5,0.144418
27:43.5,0.144418
27:43.5,0.146025
27:43.5,0.145061
27:43.5,0.145061
27:43.5,0.145061
27:43.5,0.146025
27:43.5,0.143454
27:43.5,0.144418
27:43.5,0.143776
27:43.5,0.146346
27:43.5,0.145061
27:43.5,0.146668
27:43.5,0.144418
27:43.5,0.145704
27:43.5,0.144097
27:43.5,0.145382
27:43.5,0.14249
27:43.5,0.145704
27:43.5,0.145704
27:43.5,0.146346
27:43.5,0.14474
27:43.5,0.145704
27:43.5,0.14474
27:43.5,0.144418
27:43.5,0.143133
27:43.5,0.145704
27:43.5,0.145382
27:43.5,0.146346
27:43.5,0.145382
27:43.5,0.146346
27:43.5,0.143454
27:43.5,0.14474
27:43.5,0.142812
27:43.5,0.144097
27:43.5,0.144418
27:43.5,0.146025
27:43.5,0.145382
27:43.5,0.145704
27:43.5,0.144418
27:43.5,0.145061
27:43.5,0.142812
27:43.5,0.144418
27:43.5,0.145061
27:43.5,0.146668
27:43.5,0.14474
27:43.5,0.146025
27:43.5,0.144097
27:43.5,0.145382
27:43.5,0.14249
27:43.5,0.144418
27:43.5,0.145061
27:43.5,0.146346
27:43.5,0.14474
27:43.5,0.146668
27:43.5,0.14474
27:43.5,0.145704
27:43.5,0.144097
27:43.5,0.14474
27:43.5,0.144418
27:43.5,0.146025
27:43.5,0.145061
27:43.5,0.146346
27:43.5,0.145382
27:43.5,0.145382
27:43.5,0.143454
27:43.5,0.14474
27:43.5,0.143776
27:43.5,0.145704
27:43.5,0.145382
27:43.5,0.146346
27:43.5,0.145061
27:43.5,0.146025
27:43.5,0.144097
27:43.5,0.14474
27:43.5,0.142812
27:43.5,0.145704
27:43.5,0.145382
27:43.5,0.146346
27:43.5,0.14474
27:43.5,0.146025
27:43.5,0.144418
27:43.5,0.14474
27:43.5,0.143133
