时间 - B,Voltage [V] - B
27:43.5,0.14474
27:43.5,0.143454
27:43.5,0.143454
27:43.5,0.141205
27:43.5,0.142169
27:43.5,0.14249
27:43.5,0.144418
27:43.5,0.143776
27:43.5,0.144418
27:43.5,0.142812
27:43.5,0.143776
27:43.5,0.141205
27:43.5,0.142169
27:43.5,0.14249
27:43.5,0.14474
27:43.5,0.143133
27:43.5,0.143776
27:43.5,0.143454
27:43.5,0.143776
27:43.5,0.141205
27:43.5,0.14249
27:43.5,0.141848
27:43.5,0.143776
27:43.5,0.143133
27:43.5,0.144418
27:43.5,0.14249
27:43.5,0.143133
27:43.5,0.141848
27:43.5,0.142812
27:43.5,0.141205
27:43.5,0.144418
27:43.5,0.143133
27:43.5,0.145382
27:43.5,0.14249
27:43.5,0.143133
27:43.5,0.142169
27:43.5,0.141848
27:43.5,0.141526
27:43.5,0.144097
27:43.5,0.142812
27:43.5,0.144418
27:43.5,0.14249
27:43.5,0.144418
27:43.5,0.14249
27:43.5,0.141848
27:43.5,0.140562
27:43.5,0.143776
27:43.5,0.142812
27:43.5,0.144097
27:43.5,0.142169
27:43.5,0.144097
27:43.5,0.14249
27:43.5,0.143454
27:43.5,0.140562
27:43.5,0.143133
27:43.5,0.143133
27:43.5,0.14474
27:43.5,0.142812
27:43.5,0.143776
27:43.5,0.14249
27:43.5,0.143776
27:43.5,0.140884
27:43.5,0.142812
27:43.5,0.142812
27:43.5,0.145061
27:43.5,0.143133
27:43.5,0.144418
27:43.5,0.142169
27:43.5,0.143454
27:43.5,0.141205
27:43.5,0.143133
27:43.5,0.142812
27:43.5,0.143776
27:43.5,0.142812
27:43.5,0.144097
27:43.5,0.143133
27:43.5,0.144418
27:43.5,0.140562
27:43.5,0.14249
27:43.5,0.142812
27:43.5,0.14474
27:43.5,0.143776
27:43.5,0.144097
27:43.5,0.142812
27:43.5,0.143454
27:43.5,0.141848
27:43.5,0.14249
27:43.5,0.14249
27:43.5,0.144097
27:43.5,0.143133
27:43.5,0.144418
27:43.5,0.142812
27:43.5,0.143776
27:43.5,0.142169
27:43.5,0.142169
27:43.5,0.141848
27:43.5,0.144418
27:43.5,0.143776
27:43.5,0.144418
27:43.5,0.142812
27:43.5,0.143776
27:43.5,0.141848
27:43.5,0.142169
27:43.5,0.140562
27:43.5,0.144418
27:43.5,0.143454
27:43.5,0.143776
27:43.5,0.143133
27:43.5,0.143454
27:43.5,0.14249
27:43.5,0.143454
27:43.5,0.141205
27:43.5,0.144097
27:43.5,0.142812
27:43.5,0.14474
27:43.5,0.142812
27:43.5,0.144418
27:43.5,0.141848
27:43.5,0.143454
27:43.5,0.141526
27:43.5,0.143133
27:43.5,0.143133
27:43.5,0.144418
27:43.5,0.143454
27:43.5,0.14474
27:43.5,0.14249
27:43.5,0.142812
27:43.5,0.140884
27:43.5,0.143133
27:43.5,0.143454
27:43.5,0.14474
27:43.5,0.143133
27:43.5,0.144097
27:43.5,0.14249
27:43.5,0.142812
27:43.5,0.141205
27:43.5,0.143133
27:43.5,0.143454
27:43.5,0.143776
27:43.5,0.142812
27:43.6,0.14474
27:43.6,0.142812
27:43.6,0.143133
27:43.6,0.140884
27:43.6,0.141848
27:43.6,0.142812
27:43.6,0.144418
27:43.6,0.143133
27:43.6,0.144418
27:43.6,0.142812
27:43.6,0.143776
27:43.6,0.141526
27:43.6,0.14249
27:43.6,0.142812
27:43.6,0.144418
27:43.6,0.143454
27:43.6,0.144097
27:43.6,0.14249
27:43.6,0.143454
27:43.6,0.141848
27:43.6,0.142169
27:43.6,0.141848
27:43.6,0.144097
27:43.6,0.143133
27:43.6,0.14474
27:43.6,0.143133
27:43.6,0.144097
27:43.6,0.141205
27:43.6,0.142169
27:43.6,0.141526
27:43.6,0.144097
27:43.6,0.143133
27:43.6,0.144097
27:43.6,0.143454
27:43.6,0.144097
27:43.6,0.142812
27:43.6,0.143454
27:43.6,0.141205
27:43.6,0.143133
27:43.6,0.143133
27:43.6,0.14474
27:43.6,0.143776
27:43.6,0.143454
27:43.6,0.14249
27:43.6,0.143133
27:43.6,0.141526
27:43.6,0.142169
27:43.6,0.142812
27:43.6,0.144418
27:43.6,0.143454
27:43.6,0.144097
27:43.6,0.14249
27:43.6,0.143133
27:43.6,0.141205
27:43.6,0.141848
27:43.6,0.14249
27:43.6,0.143776
27:43.6,0.143133
27:43.6,0.144097
27:43.6,0.142812
27:43.6,0.143776
27:43.6,0.141848
27:43.6,0.141848
27:43.6,0.142169
27:43.6,0.144418
27:43.6,0.142812
27:43.6,0.144418
27:43.6,0.143133
27:43.6,0.144097
27:43.6,0.14249
27:43.6,0.14249
27:43.6,0.141205
27:43.6,0.143454
27:43.6,0.143133
27:43.6,0.144418
27:43.6,0.142812
27:43.6,0.144097
27:43.6,0.142169
27:43.6,0.142812
27:43.6,0.141848
27:43.6,0.142812
27:43.6,0.142812
27:43.6,0.144097
27:43.6,0.143454
27:43.6,0.143776
27:43.6,0.14249
27:43.6,0.143776
27:43.6,0.141848
27:43.6,0.141848
27:43.6,0.142169
27:43.6,0.14474
27:43.6,0.142169
27:43.6,0.144418
27:43.6,0.143133
27:43.6,0.143454
27:43.6,0.142169
27:43.6,0.142169
27:43.6,0.140562
27:43.6,0.143776
27:43.6,0.143133
27:43.6,0.14474
27:43.6,0.143133
27:43.6,0.144097
27:43.6,0.141526
27:43.6,0.142169
27:43.6,0.140884
27:43.6,0.143133
27:43.6,0.143454
27:43.6,0.144418
27:43.6,0.14249
27:43.6,0.144097
27:43.6,0.143133
27:43.6,0.142169
27:43.6,0.140562
27:43.6,0.142812
27:43.6,0.143133
27:43.6,0.144418
27:43.6,0.142812
27:43.6,0.14474
27:43.6,0.143133
27:43.6,0.144097
27:43.6,0.141526
27:43.6,0.142169
27:43.6,0.142169
27:43.6,0.143776
27:43.6,0.142812
27:43.6,0.144418
27:43.6,0.142812
27:43.6,0.144097
27:43.6,0.141205
27:43.6,0.141526
27:43.6,0.141526
27:43.6,0.143776
27:43.6,0.143454
27:43.6,0.14474
27:43.6,0.142169
27:43.6,0.144418
27:43.6,0.142812
27:43.6,0.142812
27:43.6,0.141526
27:43.6,0.143133
27:43.6,0.142812
27:43.6,0.144097
27:43.6,0.143133
27:43.6,0.144418
27:43.6,0.142812
27:43.6,0.14249
27:43.6,0.140884
27:43.6,0.142812
27:43.6,0.143454
27:43.6,0.144097
27:43.6,0.143454
27:43.6,0.144097
27:43.6,0.142812
27:43.6,0.143454
27:43.6,0.141205
27:43.6,0.142169
27:43.6,0.142812
27:43.6,0.14474
27:43.6,0.143133
27:43.6,0.143776
27:43.6,0.143133
27:43.6,0.143454
27:43.6,0.141848
27:43.6,0.142812
27:43.6,0.14249
27:43.6,0.143776
27:43.6,0.143133
27:43.6,0.14474
27:43.6,0.142812
27:43.6,0.144097
27:43.6,0.142169
27:43.6,0.142169
27:43.6,0.141848
27:43.6,0.143776
27:43.6,0.143133
27:43.6,0.145061
27:43.6,0.143454
27:43.6,0.143454
27:43.6,0.142169
27:43.6,0.142812
27:43.6,0.141205
27:43.6,0.143776
27:43.6,0.143133
27:43.6,0.145061
27:43.6,0.143133
27:43.6,0.143776
27:43.6,0.143133
27:43.6,0.142812
27:43.6,0.141205
27:43.6,0.143133
27:43.6,0.143133
27:43.6,0.14474
27:43.6,0.143133
27:43.6,0.143776
27:43.6,0.14249
27:43.6,0.143776
27:43.6,0.140562
27:43.6,0.141848
27:43.6,0.143133
27:43.6,0.144418
27:43.6,0.143454
27:43.6,0.144097
27:43.6,0.143133
27:43.6,0.143776
27:43.6,0.141205
27:43.6,0.142169
27:43.6,0.14249
27:43.6,0.144097
27:43.6,0.142812
27:43.6,0.14474
27:43.6,0.142812
27:43.6,0.14474
27:43.6,0.14249
27:43.6,0.142169
27:43.6,0.142169
27:43.6,0.144418
27:43.6,0.143133
27:43.6,0.144418
27:43.6,0.143133
27:43.6,0.143454
27:43.6,0.141848
27:43.6,0.142812
27:43.6,0.140884
27:43.6,0.143454
27:43.6,0.143454
27:43.6,0.14474
27:43.6,0.14249
27:43.6,0.144097
27:43.6,0.142169
27:43.6,0.142812
27:43.6,0.140884
27:43.6,0.142812
27:43.6,0.143133
27:43.6,0.144418
27:43.6,0.143133
27:43.6,0.143454
27:43.6,0.142812
27:43.6,0.143454
27:43.6,0.140884
27:43.6,0.14249
27:43.6,0.14249
27:43.6,0.14474
27:43.6,0.143133
27:43.6,0.14474
27:43.6,0.14249
27:43.6,0.143133
27:43.6,0.141205
27:43.6,0.141848
27:43.6,0.141848
27:43.6,0.144097
27:43.6,0.143454
27:43.6,0.144418
27:43.6,0.142812
27:43.6,0.143454
27:43.6,0.141526
27:43.6,0.143133
27:43.6,0.141526
27:43.6,0.144097
27:43.6,0.142812
27:43.6,0.144418
27:43.6,0.143133
27:43.6,0.143454
27:43.6,0.14249
27:43.6,0.143454
27:43.6,0.141205
27:43.6,0.14249
27:43.6,0.143133
27:43.6,0.144097
27:43.6,0.142812
27:43.6,0.143776
27:43.6,0.14249
27:43.6,0.142812
27:43.6,0.140884
27:43.6,0.14249
27:43.6,0.142812
27:43.6,0.143776
27:43.6,0.143133
27:43.6,0.144418
27:43.6,0.142169
27:43.6,0.143776
27:43.6,0.141205
27:43.6,0.141848
27:43.6,0.142169
27:43.6,0.143776
27:43.6,0.143454
27:43.6,0.145382
27:43.6,0.143133
27:43.6,0.143776
27:43.6,0.14249
27:43.6,0.142169
27:43.6,0.141848
27:43.6,0.143454
27:43.6,0.143454
27:43.6,0.144418
27:43.6,0.14249
27:43.6,0.143776
27:43.6,0.142812
27:43.6,0.142169
27:43.6,0.140562
27:43.6,0.144418
27:43.6,0.142812
27:43.6,0.144418
27:43.6,0.143454
27:43.6,0.144097
27:43.6,0.142169
27:43.6,0.14249
27:43.6,0.141205
27:43.6,0.143133
27:43.6,0.142812
27:43.6,0.14474
27:43.6,0.143133
27:43.6,0.143776
27:43.6,0.142169
27:43.6,0.143133
27:43.6,0.141526
27:43.6,0.142169
27:43.6,0.14249
27:43.6,0.144418
27:43.6,0.143133
27:43.6,0.144418
27:43.6,0.14249
27:43.6,0.14249
27:43.6,0.140884
27:43.6,0.141526
27:43.6,0.143133
27:43.6,0.144097
27:43.6,0.143133
27:43.6,0.144418
27:43.6,0.142812
27:43.6,0.143776
27:43.6,0.141848
27:43.6,0.141848
27:43.6,0.141848
27:43.6,0.143454
27:43.6,0.143133
27:43.6,0.144097
27:43.6,0.143133
27:43.6,0.144097
27:43.6,0.141848
27:43.6,0.142812
27:43.6,0.140884
27:43.6,0.142812
27:43.6,0.14249
27:43.6,0.145061
27:43.6,0.142812
27:43.6,0.144097
27:43.6,0.142169
27:43.6,0.143133
27:43.6,0.141205
27:43.6,0.14249
27:43.6,0.142812
27:43.6,0.14474
27:43.6,0.143454
27:43.6,0.144097
27:43.6,0.142812
27:43.6,0.143776
27:43.6,0.141205
27:43.6,0.141848
27:43.6,0.142169
27:43.6,0.144418
27:43.6,0.142812
27:43.6,0.14474
27:43.6,0.143133
27:43.6,0.143776
27:43.6,0.142169
27:43.6,0.142169
27:43.6,0.142169
27:43.6,0.144097
27:43.6,0.142812
27:43.6,0.144418
27:43.6,0.143133
27:43.6,0.143776
27:43.6,0.142169
27:43.6,0.142169
27:43.6,0.141205
27:43.6,0.144418
27:43.6,0.143454
27:43.6,0.144097
27:43.6,0.143133
27:43.6,0.143776
27:43.6,0.14249
27:43.6,0.14249
27:43.6,0.140884
27:43.6,0.143454
27:43.6,0.143133
27:43.6,0.144418
27:43.6,0.14249
27:43.6,0.144097
27:43.6,0.142812
27:43.6,0.143133
27:43.6,0.140562
27:43.6,0.143133
27:43.6,0.142812
27:43.6,0.144097
27:43.6,0.143133
27:43.6,0.144418
27:43.6,0.14249
27:43.6,0.143133
27:43.6,0.140884
27:43.6,0.143454
27:43.6,0.143133
27:43.6,0.144418
27:43.6,0.143133
27:43.6,0.144097
27:43.6,0.14249
27:43.6,0.143776
27:43.6,0.141526
27:43.6,0.142812
27:43.6,0.142169
27:43.6,0.144097
27:43.6,0.143454
27:43.6,0.14474
27:43.6,0.142812
27:43.6,0.143133
27:43.6,0.141848
27:43.6,0.14249
27:43.6,0.142169
27:43.6,0.14474
27:43.6,0.142812
27:43.6,0.144418
27:43.6,0.142812
27:43.6,0.144097
27:43.6,0.141526
27:43.6,0.142169
27:43.6,0.141526
27:43.6,0.144097
27:43.6,0.143454
27:43.6,0.144418
27:43.6,0.143133
27:43.6,0.144097
27:43.6,0.142169
27:43.6,0.142169
27:43.6,0.141526
27:43.6,0.143454
27:43.6,0.143776
27:43.6,0.144097
27:43.6,0.142812
27:43.6,0.14474
27:43.6,0.141526
27:43.6,0.142812
27:43.6,0.140884
27:43.6,0.143776
27:43.6,0.143133
27:43.6,0.14474
27:43.6,0.141848
27:43.6,0.144097
27:43.6,0.14249
27:43.6,0.14249
27:43.6,0.141205
27:43.6,0.144097
27:43.6,0.143133
27:43.6,0.145382
27:43.6,0.14249
27:43.6,0.144418
27:43.6,0.141848
27:43.6,0.143454
27:43.6,0.141526
27:43.6,0.143776
27:43.6,0.14249
27:43.6,0.144418
27:43.6,0.143454
27:43.6,0.14474
27:43.6,0.14249
27:43.6,0.143454
27:43.6,0.140241
27:43.6,0.143776
27:43.6,0.143454
27:43.6,0.145061
27:43.6,0.143133
27:43.6,0.144418
27:43.6,0.142812
27:43.6,0.143776
27:43.6,0.141205
27:43.6,0.142812
27:43.6,0.143454
27:43.6,0.144418
27:43.6,0.143776
27:43.6,0.144097
27:43.6,0.142812
27:43.6,0.143133
27:43.6,0.141526
27:43.6,0.142169
27:43.6,0.142812
27:43.6,0.145061
27:43.6,0.143454
27:43.6,0.143776
27:43.6,0.143454
