时间 - Ib,Voltage [V] - Ib
27:43.5,1.61839
27:43.5,1.61872
27:43.5,1.61968
27:43.5,1.61936
27:43.5,1.61968
27:43.5,1.62
27:43.5,1.62032
27:43.5,1.61968
27:43.5,1.62097
27:43.5,1.62097
27:43.5,1.62161
27:43.5,1.62129
27:43.5,1.62193
27:43.5,1.62161
27:43.5,1.62225
27:43.5,1.62193
27:43.5,1.62225
27:43.5,1.62225
27:43.5,1.62321
27:43.5,1.62289
27:43.5,1.62354
27:43.5,1.62321
27:43.5,1.62354
27:43.5,1.62354
27:43.5,1.6245
27:43.5,1.62386
27:43.5,1.62418
27:43.5,1.62418
27:43.5,1.62482
27:43.5,1.6245
27:43.5,1.62482
27:43.5,1.62482
27:43.5,1.62546
27:43.5,1.62482
27:43.5,1.62546
27:43.5,1.62546
27:43.5,1.62611
27:43.5,1.62611
27:43.5,1.62611
27:43.5,1.62611
27:43.5,1.62643
27:43.5,1.62611
27:43.5,1.62675
27:43.5,1.62611
27:43.5,1.62707
27:43.5,1.62643
27:43.5,1.62739
27:43.5,1.62707
27:43.5,1.62739
27:43.5,1.62707
27:43.5,1.62739
27:43.5,1.62771
27:43.5,1.62803
27:43.5,1.62739
27:43.5,1.62739
27:43.5,1.62771
27:43.5,1.62836
27:43.5,1.62803
27:43.5,1.62868
27:43.5,1.62771
27:43.5,1.629
27:43.5,1.62868
27:43.5,1.629
27:43.5,1.62868
27:43.5,1.629
27:43.5,1.62868
27:43.5,1.62868
27:43.5,1.62868
27:43.5,1.62932
27:43.5,1.629
27:43.5,1.62964
27:43.5,1.629
27:43.5,1.62932
27:43.5,1.62932
27:43.5,1.62996
27:43.5,1.62932
27:43.5,1.63028
27:43.5,1.62932
27:43.5,1.63028
27:43.5,1.62996
27:43.5,1.63028
27:43.5,1.62996
27:43.5,1.62996
27:43.5,1.62996
27:43.5,1.63061
27:43.5,1.62996
27:43.5,1.63061
27:43.5,1.63028
27:43.5,1.63061
27:43.5,1.62996
27:43.5,1.63061
27:43.5,1.62996
27:43.5,1.63061
27:43.5,1.63061
27:43.5,1.63061
27:43.5,1.63061
27:43.5,1.63093
27:43.5,1.63061
27:43.5,1.63125
27:43.5,1.63093
27:43.5,1.63125
27:43.5,1.63061
27:43.5,1.63093
27:43.5,1.63093
27:43.5,1.63157
27:43.5,1.63125
27:43.5,1.63157
27:43.5,1.63157
27:43.5,1.63157
27:43.5,1.63125
27:43.5,1.63157
27:43.5,1.63157
27:43.5,1.63189
27:43.5,1.63125
27:43.5,1.63189
27:43.5,1.63093
27:43.5,1.63189
27:43.5,1.63157
27:43.5,1.63221
27:43.5,1.63189
27:43.5,1.63221
27:43.5,1.63189
27:43.5,1.63221
27:43.5,1.63157
27:43.5,1.63221
27:43.5,1.63157
27:43.5,1.63253
27:43.5,1.63189
27:43.5,1.63189
27:43.5,1.63157
27:43.5,1.63253
27:43.5,1.63221
27:43.5,1.63221
27:43.5,1.63221
27:43.5,1.63253
27:43.5,1.63189
27:43.5,1.63285
27:43.5,1.63221
27:43.5,1.63253
27:43.5,1.63189
27:43.5,1.63253
27:43.6,1.63221
27:43.6,1.63253
27:43.6,1.63189
27:43.6,1.63253
27:43.6,1.63253
27:43.6,1.63253
27:43.6,1.63253
27:43.6,1.63285
27:43.6,1.63221
27:43.6,1.63285
27:43.6,1.63221
27:43.6,1.6335
27:43.6,1.63253
27:43.6,1.63318
27:43.6,1.63253
27:43.6,1.63285
27:43.6,1.63221
27:43.6,1.63285
27:43.6,1.63253
27:43.6,1.63318
27:43.6,1.63285
27:43.6,1.63318
27:43.6,1.63253
27:43.6,1.63285
27:43.6,1.63253
27:43.6,1.63318
27:43.6,1.63253
27:43.6,1.63285
27:43.6,1.63285
27:43.6,1.63318
27:43.6,1.63253
27:43.6,1.63318
27:43.6,1.63253
27:43.6,1.63318
27:43.6,1.63253
27:43.6,1.63318
27:43.6,1.63318
27:43.6,1.63318
27:43.6,1.63285
27:43.6,1.63318
27:43.6,1.63285
27:43.6,1.63285
27:43.6,1.63253
27:43.6,1.6335
27:43.6,1.63285
27:43.6,1.63318
27:43.6,1.63253
27:43.6,1.63318
27:43.6,1.63285
27:43.6,1.63318
27:43.6,1.63285
27:43.6,1.63318
27:43.6,1.63285
27:43.6,1.63318
27:43.6,1.63285
27:43.6,1.63318
27:43.6,1.63253
27:43.6,1.63318
27:43.6,1.63318
27:43.6,1.63318
27:43.6,1.63253
27:43.6,1.6335
27:43.6,1.63285
27:43.6,1.63382
27:43.6,1.63253
27:43.6,1.63318
27:43.6,1.63285
27:43.6,1.6335
27:43.6,1.63253
27:43.6,1.63285
27:43.6,1.63285
27:43.6,1.6335
27:43.6,1.63253
27:43.6,1.6335
27:43.6,1.63285
27:43.6,1.6335
27:43.6,1.6335
27:43.6,1.63285
27:43.6,1.63318
27:43.6,1.63382
27:43.6,1.63285
27:43.6,1.63318
27:43.6,1.63285
27:43.6,1.63382
27:43.6,1.63285
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.63318
27:43.6,1.63285
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.63285
27:43.6,1.63285
27:43.6,1.63382
27:43.6,1.63318
27:43.6,1.63382
27:43.6,1.63318
27:43.6,1.63318
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.63285
27:43.6,1.63382
27:43.6,1.6335
27:43.6,1.63382
27:43.6,1.63285
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.63382
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.63285
27:43.6,1.63414
27:43.6,1.63318
27:43.6,1.63318
27:43.6,1.63285
27:43.6,1.63382
27:43.6,1.63318
27:43.6,1.63414
27:43.6,1.63318
27:43.6,1.63382
27:43.6,1.63382
27:43.6,1.63382
27:43.6,1.63253
27:43.6,1.63318
27:43.6,1.63318
27:43.6,1.63414
27:43.6,1.63318
27:43.6,1.63318
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.6335
27:43.6,1.63382
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.63382
27:43.6,1.63318
27:43.6,1.63414
27:43.6,1.63318
27:43.6,1.63382
27:43.6,1.63318
27:43.6,1.63382
27:43.6,1.63318
27:43.6,1.63318
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.63382
27:43.6,1.63318
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.63318
27:43.6,1.63414
27:43.6,1.63285
27:43.6,1.6335
27:43.6,1.6335
27:43.6,1.63382
27:43.6,1.6335
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.6335
27:43.6,1.6335
27:43.6,1.63253
27:43.6,1.63382
27:43.6,1.63285
27:43.6,1.6335
27:43.6,1.63285
27:43.6,1.63318
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.63382
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.63285
27:43.6,1.63382
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.63285
27:43.6,1.6335
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.63285
27:43.6,1.6335
27:43.6,1.63382
27:43.6,1.63318
27:43.6,1.63285
27:43.6,1.63382
27:43.6,1.63318
27:43.6,1.63382
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.63382
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.63382
27:43.6,1.6335
27:43.6,1.63382
27:43.6,1.6335
27:43.6,1.63414
27:43.6,1.63285
27:43.6,1.6335
27:43.6,1.63285
27:43.6,1.63414
27:43.6,1.63318
27:43.6,1.63382
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.6335
27:43.6,1.63382
27:43.6,1.63285
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.63382
27:43.6,1.6335
27:43.6,1.6335
27:43.6,1.63285
27:43.6,1.63414
27:43.6,1.63318
27:43.6,1.63382
27:43.6,1.63285
27:43.6,1.6335
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.63318
27:43.6,1.63414
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.6335
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.63382
27:43.6,1.6335
27:43.6,1.63382
27:43.6,1.63318
27:43.6,1.63382
27:43.6,1.63285
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.63382
27:43.6,1.63285
27:43.6,1.6335
27:43.6,1.63285
27:43.6,1.63382
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.63253
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.63382
27:43.6,1.6335
27:43.6,1.63414
27:43.6,1.63253
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.6335
27:43.6,1.63285
27:43.6,1.6335
27:43.6,1.6335
27:43.6,1.63382
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.63382
27:43.6,1.6335
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.63382
27:43.6,1.6335
27:43.6,1.63382
27:43.6,1.63253
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.6335
27:43.6,1.6335
27:43.6,1.63285
27:43.6,1.63414
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.63285
27:43.6,1.6335
27:43.6,1.63285
27:43.6,1.63318
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.63285
27:43.6,1.63382
27:43.6,1.6335
27:43.6,1.63382
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.63382
27:43.6,1.63318
27:43.6,1.6335
27:43.6,1.63318
27:43.6,1.63382
27:43.6,1.63382
27:43.6,1.63318
27:43.6,1.63318
27:43.6,1.63382
27:43.6,1.63285
27:43.6,1.63414
27:43.6,1.63318
27:43.6,1.6335
