时间 - Ic,Voltage [V] - Ic
27:43.5,1.611
27:43.5,1.61133
27:43.5,1.611
27:43.5,1.61068
27:43.5,1.61165
27:43.5,1.61133
27:43.5,1.61165
27:43.5,1.61133
27:43.5,1.61197
27:43.5,1.61197
27:43.5,1.61197
27:43.5,1.61197
27:43.5,1.61261
27:43.5,1.61197
27:43.5,1.61229
27:43.5,1.61229
27:43.5,1.61293
27:43.5,1.61293
27:43.5,1.61229
27:43.5,1.61197
27:43.5,1.61261
27:43.5,1.61229
27:43.5,1.61357
27:43.5,1.61293
27:43.5,1.61293
27:43.5,1.61229
27:43.5,1.61325
27:43.5,1.61293
27:43.5,1.61357
27:43.5,1.61293
27:43.5,1.61357
27:43.5,1.61325
27:43.5,1.6139
27:43.5,1.61293
27:43.5,1.61357
27:43.5,1.61293
27:43.5,1.61357
27:43.5,1.61325
27:43.5,1.61422
27:43.5,1.61357
27:43.5,1.6139
27:43.5,1.6139
27:43.5,1.61422
27:43.5,1.61357
27:43.5,1.6139
27:43.5,1.61454
27:43.5,1.61422
27:43.5,1.6139
27:43.5,1.61422
27:43.5,1.61357
27:43.5,1.61422
27:43.5,1.61357
27:43.5,1.61422
27:43.5,1.6139
27:43.5,1.61454
27:43.5,1.61454
27:43.5,1.61422
27:43.5,1.61357
27:43.5,1.61454
27:43.5,1.61454
27:43.5,1.61486
27:43.5,1.61422
27:43.5,1.61454
27:43.5,1.61422
27:43.5,1.61486
27:43.5,1.61454
27:43.5,1.61486
27:43.5,1.61454
27:43.5,1.61486
27:43.5,1.61422
27:43.5,1.61518
27:43.5,1.61454
27:43.5,1.61518
27:43.5,1.61518
27:43.5,1.61518
27:43.5,1.61454
27:43.5,1.61518
27:43.5,1.61486
27:43.5,1.61518
27:43.5,1.61486
27:43.5,1.6155
27:43.5,1.61486
27:43.5,1.61486
27:43.5,1.61486
27:43.5,1.6155
27:43.5,1.61518
27:43.5,1.61486
27:43.5,1.61518
27:43.5,1.6155
27:43.5,1.61486
27:43.5,1.61582
27:43.5,1.61486
27:43.5,1.61518
27:43.5,1.61454
27:43.5,1.61518
27:43.5,1.61486
27:43.5,1.6155
27:43.5,1.61518
27:43.5,1.6155
27:43.5,1.61454
27:43.5,1.61518
27:43.5,1.61582
27:43.5,1.6155
27:43.5,1.61518
27:43.5,1.61582
27:43.5,1.6155
27:43.5,1.6155
27:43.5,1.6155
27:43.5,1.6155
27:43.5,1.6155
27:43.5,1.6155
27:43.5,1.6155
27:43.5,1.6155
27:43.5,1.6155
27:43.5,1.6155
27:43.5,1.6155
27:43.5,1.61582
27:43.5,1.6155
27:43.5,1.6155
27:43.5,1.61518
27:43.5,1.6155
27:43.5,1.6155
27:43.5,1.61582
27:43.5,1.61582
27:43.5,1.61615
27:43.5,1.6155
27:43.5,1.61582
27:43.5,1.6155
27:43.5,1.61615
27:43.5,1.61582
27:43.5,1.61647
27:43.5,1.61518
