时间 - Uba,Voltage [V] - Uba
27:43.5,-0.0512764
27:43.5,-0.0435643
27:43.5,-0.0506337
27:43.5,-0.0432429
27:43.5,-0.0483843
27:43.5,-0.0406722
27:43.5,-0.0474203
27:43.5,-0.0413149
27:43.5,-0.0474203
27:43.5,-0.0406722
27:43.5,-0.0474203
27:43.5,-0.0413149
27:43.5,-0.0477417
27:43.5,-0.0409936
27:43.5,-0.0487057
27:43.5,-0.0422789
27:43.5,-0.0487057
27:43.5,-0.0419576
27:43.5,-0.0493483
27:43.5,-0.0429216
27:43.5,-0.0493483
27:43.5,-0.0426002
27:43.5,-0.0487057
27:43.5,-0.0413149
27:43.5,-0.048063
27:43.5,-0.0419576
27:43.5,-0.049027
27:43.5,-0.0426002
27:43.5,-0.0493483
27:43.5,-0.0432429
27:43.5,-0.049991
27:43.5,-0.0432429
27:43.5,-0.0493483
27:43.5,-0.0435643
27:43.5,-0.0493483
27:43.5,-0.0429216
27:43.5,-0.0496697
27:43.5,-0.0432429
27:43.5,-0.0506337
27:43.5,-0.0445283
27:43.5,-0.0522404
27:43.5,-0.045171
27:43.5,-0.050955
27:43.5,-0.0445283
27:43.5,-0.0515977
27:43.5,-0.046135
27:43.5,-0.0522404
27:43.5,-0.046135
27:43.5,-0.0528831
27:43.5,-0.0464563
27:43.5,-0.0532044
27:43.5,-0.047099
27:43.5,-0.0535257
27:43.5,-0.047099
27:43.5,-0.0538471
27:43.5,-0.0474203
27:43.5,-0.0535257
27:43.5,-0.0477417
27:43.5,-0.0548111
27:43.5,-0.0487057
27:43.5,-0.0554538
27:43.5,-0.049991
27:43.5,-0.0567391
27:43.5,-0.0503124
27:43.5,-0.0567391
27:43.5,-0.0503124
27:43.5,-0.0564178
27:43.5,-0.0496697
27:43.5,-0.0564178
27:43.5,-0.049991
27:43.5,-0.0557751
27:43.5,-0.0493483
27:43.5,-0.0557751
27:43.5,-0.0496697
27:43.5,-0.0554538
27:43.5,-0.0493483
27:43.5,-0.0544897
27:43.5,-0.049027
27:43.5,-0.0554538
27:43.5,-0.0493483
27:43.5,-0.0544897
27:43.5,-0.0487057
27:43.5,-0.0548111
27:43.5,-0.0477417
27:43.5,-0.0535257
27:43.5,-0.047099
27:43.5,-0.0535257
27:43.5,-0.047099
27:43.5,-0.0535257
27:43.5,-0.0474203
